sovereign,territory,habitat,habitat_area,mpa,heavily_restricted,minimal_area_km2,high_area_km2,upgrade_gain_percent,opportunity_score,high_protection_percent,enabling_conditions,enabling_band,global_share
United States,Hawaii,Mangroves,4,1,0,1,0,25,0.758,0,75.8,>=70,0.0027417361927296927
United States,Northern Mariana Islands,Seagrasses,4,1,0,1,0,25,0.7807290076335878,0,78.07290076335877,>=70,0.0012675793381373543
Dominican Republic,Dominican Republic,Seagrasses,347,86,0,86,0,24.78386167146974,45.293521949213535,0,52.6668859874576,50-69,0.10996250758341548
Malaysia,Malaysia,Warm-water corals,2150.71020507812,679,148,531,148,24.689518780644487,309.72037004405286,6.881447795735187,58.327753303964755,50-69,1.4416654770891568
United Kingdom,Anguilla,Seagrasses,25.762077331543,6.25251007080078,0,6.25251007080078,0,24.270209231711405,4.8752526252053,0,77.97272727272727,>=70,0.008163869233240154
New Zealand,New Zealand,Saltmarshes,207,50,0,50,0,24.154589371980677,41.4510989010989,0,82.9021978021978,>=70,0.09218149676589772
Bahrain,Bahrain,Seagrasses,542.303833007812,122.557167053223,0,122.557167053223,0,22.599354751648516,67.89667054748553,0,55.4,50-69,0.17185328342834819
Norway,Norway,Seagrasses,353.475036621094,79.4750442504883,0,79.4750442504883,0,22.48391994246576,67.92967422571174,0,85.47296181630547,>=70,0.11201441324206084
East Timor,East Timor,Mangroves,9,2,0,2,0,22.22222222222222,0.9910967741935484,0,49.55483870967742,<50,0.006168906433641808
Canada,Canada,Seagrasses,315.831878662109,69.4678573608398,0,69.4678573608398,0,21.99520126185856,59.868908541323954,0,86.18217232517246,>=70,0.10008549092929832
United States,Puerto Rico,Warm-water corals,166,36,0,36,0,21.686746987951807,25.368,0,70.46666666666667,>=70,0.11127322901604372
Kenya,Kenya,Mangroves,555.983581542969,119.983612060547,0,119.983612060547,0,21.580423603079744,50.51310067749029,0,42.1,<50,0.38109007701995956
Mauritania,Mauritania,Saltmarshes,12154.77734375,2615,0,2615,0,21.514174435656248,1111.375,0,42.5,<50,5.412780523686462
South Africa,South Africa,Saltmarshes,1036.74475097656,218.224899291992,0,218.224899291992,0,21.04904790561374,125.47931709289539,0,57.5,50-69,0.4616844584985856
Vietnam,Vietnam,Warm-water corals,454.884338378906,101,6,95,6,20.884429729666277,48.00528523489933,1.3190166145052387,50.531879194630875,50-69,0.30491836843522613
Saudi Arabia,Saudi Arabia,Mangroves,77,16,0,16,0,20.77922077922078,8.686917293233083,0,54.29323308270677,50-69,0.05277842171004658
Madagascar,Madagascar,Seagrasses,5751,1188,0,1188,0,20.657276995305164,592.812,0,49.9,<50,1.8224621934069811
United States,Puerto Rico,Seagrasses,595,126,4,122,4,20.50420168067227,85.96933333333334,0.6722689075630253,70.46666666666667,>=70,0.18855242654793145
United Kingdom,Cayman Islands,Mangroves,44,9,0,9,0,20.454545454545453,6.76485,0,75.165,>=70,0.03015909812002662
United States,United States Virgin Islands,Seagrasses,93.3360824584961,33,14,19,14,20.356543256943272,14.326,14.999558189326622,75.4,>=70,0.0295777224067685
Azerbaijan,Azerbaijan,Seagrasses,20,4,0,4,0,20,2.1,0,52.5,50-69,0.006337896690686772
Georgia,Georgia,Saltmarshes,5,1,0,1,0,20,0.5489999999999999,0,54.9,50-69,0.0022266062020748242
Grenada,Grenada,Seagrasses,10,2,0,2,0,20,1.1333333333333333,0,56.666666666666664,50-69,0.003168948345343386
Iceland,Iceland,Saltmarshes,30,6,0,6,0,20,4.957689602089845,0,82.62816003483074,>=70,0.013359637212448946
Republic of Mauritius,Republic of Mauritius,Mangroves,5,1,0,1,0,20,0.6664733178654292,0,66.64733178654292,50-69,0.0034271702409121156
United Kingdom,Tristan da Cunha,Cold-water corals,5,1,0,1,0,20,0.84,0,84,>=70,0.0361839124536345
Indonesia,Indonesia,Seagrasses,17864,3659,90,3569,90,19.97872816838334,1852.0976275268818,0.5038065382892969,51.894021505376344,50-69,5.661009324121425
Iran,Iran,Saltmarshes,18330.025390625,3576,0,3576,0,19.50897461292643,1611.130407079646,0,45.053982300884954,<50,8.162749643790926
Oman,Oman,Warm-water corals,278,54,0,54,0,19.424460431654676,33.12504,0,61.342666666666666,50-69,0.1863491425690371
Qatar,Qatar,Saltmarshes,2.47692775726318,0.476927876472473,0,0.476927876472473,0,19.254815772238857,0.30487614503502836,0,63.925,50-69,0.0011030285412826964
Egypt,Egypt,Seagrasses,2466.19140625,474,0,474,0,19.219919378469775,202.88167346938772,0,42.802040816326524,<50,0.7815233176136015
Jamaica,Jamaica,Warm-water corals,416.528747558594,80,0,80,0,19.206357416842216,46.34893617021277,0,57.93617021276596,50-69,0.27920782360755
Samoa,Samoa,Warm-water corals,199,38,0,38,0,19.09547738693467,24.5868085106383,0,64.70212765957447,50-69,0.13339381068790784
New Zealand,New Zealand,Cold-water corals,828,226,70,156,70,18.840579710144926,129.32742857142858,8.454106280193237,82.9021978021978,>=70,5.992055902321873
Tonga,Tonga,Warm-water corals,1002,190,2,188,2,18.7624750499002,109.03999999999999,0.1996007984031936,58,50-69,0.6716612980366014
Oman,Oman,Seagrasses,16,3,0,3,0,18.75,1.84028,0,61.342666666666666,50-69,0.005070317352549417
Marshall Islands,Marshall Islands,Warm-water corals,2020,378,0,378,0,18.712871287128714,224.24180090497737,0,59.32322775263952,50-69,1.354047726580773
Madagascar,Madagascar,Mangroves,2725,508,0,508,0,18.642201834862384,253.492,0,49.9,<50,1.867807781297103
United Arab Emirates,United Arab Emirates,Saltmarshes,48.9770317077637,8.97703266143799,0,8.97703266143799,0,18.329066397902952,6.38267022228241,0,71.1,>=70,0.021810512511944394
Jamaica,Jamaica,Seagrasses,792,145,0,145,0,18.30808080808081,84.00744680851064,0,57.93617021276596,50-69,0.2509807089511962
United States,Puerto Rico,Saltmarshes,66,12,0,12,0,18.181818181818183,8.456,0,70.46666666666667,>=70,0.02939120186738768
United Arab Emirates,United Arab Emirates,Mangroves,73,13,0,13,0,17.80821917808219,9.243,0,71.1,>=70,0.05003668551731689
United States,Puerto Rico,Cold-water corals,34.0208892822266,6.02088975906372,0,6.02088975906372,0,17.69762603533468,4.242720316886901,0,70.46666666666667,>=70,0.24620177587657588
